Sl no,From,To,ROUTE Length
224,Annigeri,Ibrahimpur,25
225,Annigeri,Majjigudda,8
226,Annigeri,Navalli,18
227,Annigeri,Saidapur,7
228,Annigeri,Sasvihalli,12
229,Dharwad-NBS,Kustagi,150
230,Gadag,Kongawad,46
231,Gadag,Naragund,65
232,Hubballi,Karwar,178
233,Hubballi,Sirsi,108
234,Hubballi,Tadadi,173
235,HRBS,B.Bagewadi,200
236,HRBS,Hunagund,167
237,HRBS,Naragund,51
238,HRBS,RON,85
239,HRBS,SINDHANUR,207
240,HRBS,Vijayapur,206
241,Navalagund,AMARAGOL,16
242,Navalagund,Aratti,18
243,Navalagund,Ballarawad,13
244,Navalagund,Ballur,32
245,Navalagund,Belavatigi,7
246,Navalagund,bennur,18
247,Navalagund,Boganur,15
248,Navalagund,Dharwad-NBS,51
249,Navalagund,Gadag,42
250,Navalagund,Halakusugal,16
251,Navalagund,Hallikeri,16
252,Navalagund,Hallikeri,20
253,Navalagund,HRBS,57
254,Navalagund,HRBS,42
255,Navalagund,HRBS,49
256,Navalagund,HRBS,39
257,Navalagund,HRBS,57
258,Navalagund,Panaji,243
259,Navalagund,Ibrahimpur,9
260,Navalagund,Inamahongal,50
261,Navalagund,Kadadalli,14
262,Navalagund,Kongawad,26
263,Navalagund,Kumargoppa,7
264,Navalagund,Kundagol,45
265,Navalagund,Manakawad,20
266,Navalagund,Moraba,23
267,Navalagund,Mundaragi,83
268,Navalagund,Naganur,12
269,Navalagund,Nalavadi,25
270,Navalagund,Naragund,34
271,Navalagund,Naragund,21
272,Navalagund,Navalli,15
273,Navalagund,RON,47
274,Navalagund,Saudatti,48
275,Navalagund,Saunshi,48
276,Navalagund,Shalavadi,15
277,Navalagund,Shisuvinahalli,17
278,Navalagund,Sirkol,32
279,Navalagund,Sirur,35
280,Navalagund,Soudatti,45
281,Navalagund,T.kuratti,20
282,Navalagund,TADAHAL,20
283,Navalagund,DNBS,51
284,Navalagund,Rottigawad,33
285,Soudatti,Gadag,87
286,Navalagund,BOGANUR,15
287,Navalagund,Datanal,24
288,Navalagund,Sotakinal,14
289,Hubballi,Aralihonda,50
290,Hubballi,Bagadageri,34
291,Hubballi,Bagalakote,138
292,Hubballi,HSP,161
293,Hubballi,Ilakal,171
